iter	RMSE
0	14.33737341
1	13.40114908
2	12.55370965
3	11.92662177
4	11.25416508
5	10.63494427
6	10.1644677
7	9.714459535
8	9.29053437
9	8.850582579
10	8.499424033
11	8.170601711
12	7.881133628
13	7.596084123
14	7.392630267
15	7.198480328
16	7.019605761
17	6.840225273
18	6.685160029
19	6.530901553
20	6.391508329
21	6.274539199
22	6.173385834
23	6.077748401
24	5.998572659
25	5.926779451
26	5.848268705
27	5.781378388
28	5.731961081
29	5.681442555
30	5.643616014
31	5.597281188
32	5.55614477
33	5.528122706
34	5.491045966
35	5.456681697
36	5.427574577
37	5.398597958
38	5.371251384
39	5.349666776
40	5.32895892
41	5.30638539
42	5.282059755
43	5.263281993
44	5.242886516
45	5.235693894
46	5.21978165
47	5.205212674
48	5.187627335
49	5.174911664
50	5.165105272
51	5.159043443
52	5.150538119
53	5.138483797
54	5.113346926
55	5.104860678
56	5.097225749
57	5.078417573
58	5.067932649
59	5.062084414
60	5.044081887
61	5.030741604
62	5.015813386
63	5.006988023
64	4.988761424
65	4.977228106
66	4.973110538
67	4.963912572
68	4.950264895
69	4.940401147
70	4.930636686
71	4.916720994
72	4.898357558
73	4.890748961
74	4.875152366
75	4.86279358
76	4.854575785
77	4.846813262
78	4.842838035
79	4.831886004
80	4.82063688
81	4.81055011
82	4.803409702
83	4.796687985
84	4.778872957
85	4.763364003
86	4.756512996
87	4.749667641
88	4.744363461
89	4.740787226
90	4.73018054
91	4.722520601
92	4.716058003
93	4.701348448
94	4.692120963
95	4.673226696
96	4.653254199
97	4.648722635
98	4.643351016
99	4.637201503
