iter	Passed	Remaining
0	1	130
1	2	119
2	3	113
3	4	103
4	5	102
5	6	107
6	7	104
7	11	136
8	13	138
9	15	143
10	20	162
11	21	159
12	22	153
13	24	147
14	25	142
15	26	137
16	27	132
17	29	133
18	30	128
19	31	124
20	32	122
21	33	119
22	34	116
23	35	113
24	37	112
25	38	109
26	41	113
27	44	113
28	46	113
29	47	111
30	49	109
31	51	108
32	52	107
33	54	106
34	56	105
35	58	103
36	58	100
37	62	102
38	64	101
39	65	98
40	67	96
41	68	94
42	69	92
43	70	90
44	71	87
45	72	84
46	73	82
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	84	69
55	85	67
56	86	65
57	88	63
58	89	62
59	90	60
60	91	58
61	92	56
62	93	54
63	94	53
64	96	51
65	97	50
66	98	48
67	99	46
68	101	45
69	102	43
70	104	42
71	105	41
72	106	39
73	107	37
74	108	36
75	112	35
76	113	33
77	115	32
78	115	30
79	116	29
80	118	27
81	120	26
82	121	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	130	16
89	131	14
90	133	13
91	135	11
92	136	10
93	137	8
94	138	7
95	140	5
96	141	4
97	143	2
98	144	1
99	145	0
