iter	RMSE
0	0.9744417766
1	0.9521778211
2	0.9285985425
3	0.9061989547
4	0.885605218
5	0.8647223173
6	0.844016881
7	0.8245308839
8	0.8040338817
9	0.7848365159
10	0.7697575116
11	0.7521903936
12	0.7353372333
13	0.721567916
14	0.7077914969
15	0.6938893156
16	0.679737054
17	0.6658409553
18	0.6545838532
19	0.6423413104
20	0.6306012847
21	0.6182077013
22	0.6087321422
23	0.5988700369
24	0.5890562842
25	0.57897613
26	0.5689288882
27	0.5594815849
28	0.5512496305
29	0.5433672308
30	0.5347792929
31	0.5279485781
32	0.5204112382
33	0.5133960206
34	0.5067061813
35	0.5016531482
36	0.4947015713
37	0.4885274989
38	0.482745642
39	0.4769156651
40	0.4710472271
41	0.4663070252
42	0.4621992185
43	0.4580937915
44	0.4536274409
45	0.449513247
46	0.4454901394
47	0.4411100266
48	0.4369715075
49	0.4328336844
50	0.4287194142
51	0.4247380992
52	0.4217638577
53	0.4186173504
54	0.4156918444
55	0.4134250128
56	0.4103652955
57	0.4076916491
58	0.4053247733
59	0.4026895648
60	0.4002415846
61	0.3975693287
62	0.3951546349
63	0.3936449926
64	0.3916827465
65	0.3897175194
66	0.3879545345
67	0.3860308325
68	0.3845595376
69	0.3828010991
70	0.3812578431
71	0.3797097759
72	0.3780783837
73	0.3762604797
74	0.3746872627
75	0.373407451
76	0.3722171505
77	0.3709760418
78	0.3696909649
79	0.3685934384
80	0.367413102
81	0.3665520474
82	0.3653020014
83	0.3640738271
84	0.3628768795
85	0.3616307579
86	0.3605950515
87	0.3595663149
88	0.358714417
89	0.357884454
90	0.3572166943
91	0.3563485322
92	0.3555550791
93	0.3549245937
94	0.3542580691
95	0.3533796354
96	0.3526132043
97	0.3518471968
98	0.3509611281
99	0.3499041091
100	0.3491604393
101	0.3485860351
102	0.3479611793
103	0.3473514242
104	0.3466830181
105	0.3460487917
106	0.3454057651
107	0.3448944622
108	0.3442460716
109	0.3436868282
110	0.343077211
111	0.3425795648
112	0.3419397039
113	0.3414224009
114	0.3408835107
115	0.3404501347
116	0.3399764045
117	0.3397751793
118	0.3394729951
119	0.3392298249
120	0.3388903952
121	0.3383119534
122	0.3377618714
123	0.3372415312
124	0.3370003223
125	0.3366404043
126	0.3365089139
127	0.3361677992
128	0.3357396741
129	0.3352147517
130	0.3348669562
131	0.3345179264
132	0.3342684953
133	0.3341528451
134	0.3337557971
135	0.3332924844
136	0.3329409097
137	0.3326603041
138	0.3321692322
139	0.3319386969
140	0.3315039663
141	0.3311391308
142	0.3307781166
143	0.330545642
144	0.3300299249
145	0.3297877666
146	0.3296013581
147	0.3291550207
148	0.3288675185
149	0.3285212005
150	0.3281718454
151	0.3279042864
152	0.3275741522
153	0.3272380835
154	0.3268714466
155	0.3267447586
156	0.3263345072
157	0.3260663262
158	0.325785724
159	0.3255611223
160	0.3250813006
161	0.3249495953
162	0.3248310822
163	0.3246006023
164	0.3244501238
165	0.3241712291
166	0.3240782859
167	0.3238291045
168	0.3234646876
169	0.3233259094
170	0.3229742591
171	0.3227711326
172	0.3226058757
173	0.3224136532
174	0.3220118798
175	0.3217287217
176	0.3214087938
177	0.321161197
178	0.3209550426
179	0.3206880353
180	0.3205049303
181	0.3202152482
182	0.3197734065
183	0.3195952322
184	0.3194231546
185	0.3191494503
186	0.3189685395
187	0.3186946762
188	0.3183780522
189	0.3182436091
190	0.3180384584
191	0.3179616363
192	0.3178139675
193	0.3176428225
194	0.3173394591
195	0.3169184355
196	0.3166626934
197	0.3165308283
198	0.316420634
199	0.3158601287
200	0.3157246149
201	0.3155350381
202	0.3152553172
203	0.315009726
204	0.3147036219
205	0.314587536
206	0.3141488499
207	0.3139156831
208	0.3137865214
209	0.3136164521
210	0.3135092793
211	0.3134405636
212	0.3133068221
213	0.3130401153
214	0.3126923403
215	0.3125931486
216	0.312332928
217	0.3120209141
218	0.3118776203
219	0.3117068881
220	0.3114551601
221	0.311349413
222	0.3111344619
223	0.3108552215
224	0.310555141
225	0.3103395833
226	0.3102515978
227	0.3101121712
228	0.3100084674
229	0.3098782382
230	0.3095684164
231	0.3092626563
232	0.3090797665
233	0.3088917012
234	0.3084848392
235	0.3080306346
236	0.3078228893
237	0.3075475384
238	0.3075235326
239	0.3073996776
240	0.3070946233
241	0.3070341167
242	0.3069041235
243	0.3067006244
244	0.3066124658
245	0.3064954338
246	0.3060427812
247	0.3059390637
248	0.305775662
249	0.3052872418
250	0.3052508067
251	0.3051771917
252	0.3047665522
253	0.3045533096
254	0.3042824723
255	0.304056794
256	0.3040242499
257	0.3039136791
258	0.303717884
259	0.3034745438
260	0.3032913375
261	0.3031230515
262	0.3027831994
263	0.3024868213
264	0.3022173394
265	0.3021516036
266	0.3020783988
267	0.3017565943
268	0.3015977898
269	0.3014282956
270	0.3012017907
271	0.3010572073
272	0.3009596576
273	0.3006441117
274	0.3005865566
275	0.3004403472
276	0.3002075146
277	0.299905081
278	0.2995658293
279	0.2994424395
280	0.2994099724
281	0.299240591
282	0.2989602197
283	0.2988425743
284	0.2988086446
285	0.2986745601
286	0.2985728847
287	0.2984757564
288	0.2983313759
289	0.298069849
290	0.2975887915
291	0.2974160713
292	0.2969973457
293	0.2968751477
294	0.2967551256
295	0.2967312688
296	0.2967111281
297	0.2964717182
298	0.2963815889
299	0.2961175611
300	0.2958471643
301	0.2955634109
302	0.2954561299
303	0.2953658461
304	0.294974664
305	0.2945537673
306	0.2943143114
307	0.2942858567
308	0.2939839234
309	0.2936452807
310	0.2932241596
311	0.293075863
312	0.2929993056
313	0.2927940059
314	0.2926082207
315	0.2925800572
316	0.2925110204
317	0.2923777922
318	0.2920655673
319	0.2916816255
320	0.2914609424
321	0.2913075123
322	0.2910826197
323	0.2910573731
324	0.290921428
325	0.2906074105
326	0.2904691938
327	0.2902727133
328	0.2900375321
329	0.289788714
330	0.2896993541
331	0.2893810194
332	0.2891924777
333	0.2889210686
334	0.2886652633
335	0.2885560431
336	0.2883610958
337	0.2882495655
338	0.2879934992
339	0.2876876208
340	0.2876620629
341	0.2874356622
342	0.2874230183
343	0.2871257905
344	0.2868271736
345	0.2867003929
346	0.2864913897
347	0.2863963649
348	0.2860665812
349	0.285858806
350	0.285829148
351	0.2854637357
352	0.2854020316
353	0.2852274514
354	0.2848896389
355	0.2847646677
356	0.2847119585
357	0.2846799437
358	0.2845359596
359	0.2842808156
360	0.2840732861
361	0.2837538327
362	0.283599489
363	0.2835135902
364	0.2833131192
365	0.2831010438
366	0.2829229171
367	0.2826480327
368	0.2825037711
369	0.2822524097
370	0.2820820055
371	0.2819428338
372	0.2819290676
373	0.2819167904
374	0.2817244653
375	0.2814188067
376	0.2811917536
377	0.2809719281
378	0.2809489063
379	0.2806810845
380	0.2804140916
381	0.2803074695
382	0.280132797
383	0.2798792064
384	0.2797752899
385	0.2795624194
386	0.2795442543
387	0.2794315985
388	0.2793240784
389	0.2793018254
390	0.2790128131
391	0.2789983617
392	0.2788849618
393	0.2786294356
394	0.2785484288
395	0.2782434093
396	0.2780248407
397	0.2778711024
398	0.2776943361
399	0.2774046477
400	0.2773187769
401	0.2772318655
402	0.276989791
403	0.2768265008
404	0.2766538573
405	0.2763940457
406	0.2760611145
407	0.27582908
408	0.2755583049
409	0.2753394674
410	0.2752629548
411	0.2749622468
412	0.2749459015
413	0.2747496603
414	0.274554398
415	0.2743079421
416	0.2740585884
417	0.2739848031
418	0.2738479217
419	0.2736435661
420	0.273427601
421	0.2731328232
422	0.2730087461
423	0.2727877824
424	0.2726851012
425	0.2724414114
426	0.2724260246
427	0.2721354884
428	0.272016421
429	0.2718138769
430	0.2717241042
431	0.2717013923
432	0.2715562351
433	0.2713870264
